Input,Output
"""- -5 -1 -3 -5 6 4""",-6
"""/ 5 1 5 -1 -3 3 -9 5""",-0.0
"""- 4 1 5 4 2 1 8""",-17
"""+ 9 -2 -1 1 4 5""",16
"""* -5 3 -5 4 4 5 5""",30000
"""- -6 8""",-14
"""/ 4 -6 7""",-0.1
"""+ -9 -9 -8""",-26
"""* -5 -4 4 5 7 -9 4 1 -9""",907200
"""+ 9 6""",15
"""* -3""",-3
"""+ 2 9 1 6 4""",22
"""* 1 5 -6 2 9 7""",-3780
"""/ 5 4 8""",0.16
"""+ -9 1 9 4 1 6 0""",12
"""/ -1 -6 -7""",-0.02
"""- 4 6 0 -5 -5 -3 5 -8 5""",9
"""* 3 -6 4 -5 -7 5 -6 -4""",-302400
"""/ -1 -1 -2 5 -9 1 5""",0.0
"""- 9 -8 5 -3 -3 -9 -6""",33
"""* -7 -1 -7 1 8 4 -8 -3 -4""",150528
"""- 1 6 -9 9 -6""",1
"""- -4 5 1""",-10
"""+ -9""",-9
"""- -9""",-9
"""* 0 3 -4 5 1""",0
"""/ -4 -7 -8 2 8 7""",-0.0
"""+ 8 5 3 -9""",7
"""+ -9 -9 -5 -1""",-24
"""* -3 2 7 -6 -6""",-1512
"""+ -4 9""",5
"""+ 9 -6""",3
"""- 3 5 8""",-10
"""* 2 8 -6 -8 8 9 -4 2 1""",-442368
"""+ 1 -3 9 -8 -1 8 -3 -3""",0
"""/ 3 3 4 7 0 -1 -1 -8 7""",null
"""- 1 -2 3 1 -2 4 3""",-6
"""+ -6 -6 5""",-7
"""/ 1 -4 0 1""",null
"""- 5 6""",-1
"""+ 2 0 7""",9
"""- -2 -2 -4 -2 -3 0""",9
"""* 7 3""",21
"""/ 1 -1 -8 2 -5 -6 -6 -6""",0.0
"""/ -7 4 7 5 9 -3 8 8 -1""",-0.0
"""* -1 -7 8""",56
"""- -2 0 3 2 -1""",-6
"""/ 3 -9 -9 -5 7 1 5""",-0.0
"""- 1 -7 -9 6""",11
"""/ 4 0 3 -7 -8 -6""",null
"""* 1""",1
"""/ -6 8 -7 6 -6""",-0.0
"""/ 4 -6 -6""",0.11
"""* -2 -6 2 4 -3 -4 4 1 -8""",-36864
"""+ 3 4 9 0 -9 -2 -4""",1
"""+ -8 2 -9 0 -4 -6""",-25
"""* -7 2 -4 7 -8 -4 9 -5""",-564480
"""* -2 0 -3 7 -2 7""",0
"""- 7 -3 -9 -2 7 1""",13
"""- 8 -7""",15
"""* 9 -1 2 -7 -2 -9""",2268
"""+ -9 6 -6 -4 6 6""",-1
"""/ 5 -3 7 9 3 -3 0 3 1""",null
"""/ 4 4""",1.0
"""/ -5 -2 -7 8 -2 -7 7 -2 4""",0.0
"""* 1 3 1 4 -6 -8""",576
"""+ -5""",-5
"""- -1 4 6 0 9 -4 3 9 7""",-35
"""- 4 0""",4
"""* 1 0 -5 0 9 -5 4""",0
"""* -4 0 -8 9 4 -6""",0
"""* 0 3 -4 3""",0
"""- 6""",6
"""+ -5 9 -7 -4 5""",-2
"""/ 1 3 -7 9 4 6 -1""",0.0
"""/ 6 6 0 -8 4 -4 9 2 3""",null
"""+ -5 8 -9 0 -3 -7""",-16
"""* 0""",0
"""* 0 -1 -4""",0
"""- 6 -3""",9
"""- 3 8 9 -7 9 5 -1 3""",-23
"""* 4 -3 -4 2""",96
"""+ 9 -8 -8""",-7
"""/ -3 -2 8 -3 4 1""",-0.02
"""- 7 -1 -9 9 1 -7 3""",11
"""/ 8 -1 1""",-8.0
"""/ -3 -8""",0.38
"""+ 5 5 2 -2""",10
"""- -3""",-3
"""/ -1 -9 -9""",-0.01
"""/ 9 0 -1 -7 -8 -4 0""",null
"""* -8 -4 0 -5 4 -7 0 8""",0
"""- 7 3 -8 2 0 2""",8
"""/ 2 5 -2""",-0.2
"""+ -7 -2 -6 -2 -6""",-23
"""+ 1 6 4 9 -3 4 -7 6 -8""",12
"""- -8 -7 -8 -3 2 -5 1 2""",10
"""+ 0 -3 -7 -8 5 4""",-9
"""/ 0 9 -3 2""",-0.0
"""/ 8 -9 1 9 6 0 2 -5 -2""",null
"""+ 2""",2
"""* -4""",-4
"""* 7 5 -4 -2 8 0 -4""",0
"""+ -2 4 -4 -7 0""",-9
"""- -9 6 -7 9 -2 8 7 5 0""",-35
"""- -3 7 9""",-19
"""- -3 -2 -1 -9 -4 -2 8 1""",6
"""/ -3 9 -9 -6 -2 5""",0.0
"""* -4 -8""",32
"""/ -8 -2 0""",null
"""+ -5 -5 3 -8""",-15
"""- 5 6 -5 3 7 0 -4""",-2
"""/ 0 6 0 -3 8 0 8 -7 5""",null
"""/ -4 -2 8 -6 7""",-0.01
"""* -1 8 -1 3 4 -1 6 9 -7""",36288
"""+ 3 -4 7 -7 -8""",-9
"""* -7 5 -9 0 3 -7 3 -8""",0
"""+ 6 -2 5 -3""",6
"""* -1 8 -1""",8
"""* 3 9 5 5 7 -7 -6 0""",0
"""+ -1""",-1
"""/ 7 -9 3""",-0.26
"""- 9 7 -3 5 2 -1 -4""",3
"""- 6 -6 -4""",16
"""+ 7 -2 7 -1""",11
"""/ 7 -4 0 3 6 2""",null
"""- -6""",-6
"""+ -4 2 -1 -5 -6 -3""",-17
"""/ 7 0 3 1 -9""",null
"""/ 9 -8 5 -5 -3 -7 -3""",-0.0
"""- 2 -9 0 0 4 0 -8 3 -3""",15
"""/ -8 -5 -3 -6 2""",0.04
"""- -2""",-2
"""* -2 9 -9""",162
"""* 5 7 5 5 6""",5250
"""* -6 2""",-12
"""* 8 5 -1 9 -1 3 -1 4 -2""",8640
"""+ 5 -8""",-3
"""* -3 -5 4 -8 1 -9""",4320
"""* 8 -8""",-64
"""+ 5""",5
"""- 1 6 -9 0 3""",1
"""* -7 5 5 -5 -5 8""",-35000
"""- 5 5 -4 -4 5 3 -2""",2
"""/ 3 -4 -6 1 -2 -2 -1 -2""",0.02
"""- -5 -4 -6 2 -6 5 0 -6""",10
"""- -1 -1 1 -6 2 9 -8 4 3""",-5
"""/ -9 9""",-1.0
"""* 0 -3 0 -6 -4 4 3 -9""",0
"""- 6 1 -1""",6
"""- -8 9 2 -6 -2 -7 9 6""",-19
"""- -9 -2 3""",-10
"""/ 0 0 2 9 -1 5""",null
"""- -7""",-7
"""* 1""",1
"""* 3 -9 -7 1 -7 3 8 8 -5""",1270080
"""- 9 0 0 9 -7 6 -2""",3
"""- -7 7 0 9 -5""",-18
"""/ -2""",-2
"""* 4 8 -8 2 -3""",1536
"""* -6 -9 -9 -2 -6 8 0 -9""",0
"""/ -4 7 -7 4 7""",0.0
"""* -1 -8 0 -4 0 3 -9 -5""",0
"""+ 8""",8
"""- -9 8 0 5 5 -4 8""",-31
"""/ -8 6 -9 -3 6 -8 6""",0.0
"""/ -4 -9 -3""",-0.15
"""* 6 -4""",-24
"""- -4 8 3""",-15
"""* 0 4 -8 5 -2 0""",0
"""- 5 -4 6 -8 -5 -5 -1 4 -1""",19
"""/ 8""",8
"""+ 7 -1 0 -6 -1 -1 -8 7""",-3
"""/ -8 3 -1 -5 7""",-0.08
"""+ 3 2 -9 0 9 5 -6 5""",9
"""/ -8 2 0 7 -7""",null
"""/ -9 -1 3 -2 3 9""",-0.06
"""+ 9 3 -4 8""",16
"""+ -1 -2 4 -8""",-7
"""+ -1 1 7""",7
"""/ -4 0 3 -9""",null
"""- 7 -4 -6 -4 -9 -2""",32
"""* -3 1 5 -1 0 -2 -6 5 -5""",0
"""- -9 1 -8 -8 -9 -6 -1 0 -5""",27
"""- 0""",0
"""/ 6 9 -3 -1 1 -8 -2""",0.01
"""* 2 -2 -9""",36
"""- -5 -5 6 2 6 -5""",-9
"""- -5 -7 2 -9 1 4""",4
"""- 2 -4""",6
"""/ -7""",-7
"""- -8 6 -1 9 -8""",-14
"""* 8 -2 -6 -7 0 2""",0
"""/ -9 4 1 6 -6 3 8 -2 4""",-0.0
"""* -7 -3 6 9 -5 4 9 5""",-1020600
"""/ 4 -5 8 -1 4 2 2 4""",0.0
"""* 5 -9 -5 2 -4 4""",-7200
"""* 1 -4 5 8 7 0 1 4""",0
"""+ -7 2 4 7""",6
"""+ -4 7 -3 -9""",-9
"""- -3 -9""",6
"""- 5 1 0""",4
"""- 1""",1
"""/ 9 -6""",-1.5
"""/ -8 2 -9 3 5 -5 9 -1""",0.0
"""/ -3 -5 4 -4 2""",-0.02
"""+ 9 9 2 2 -4 2 6 8""",34
"""- -2 -4 7 -3 -3 -5 5 -4""",5
"""* 1 0 -2""",0
"""* -9 -2 -2 5""",-180
"""* -9 -1 -4 8 4 5""",-5760
"""+ 2 7 -9 4 -5 -5 -5""",-11
"""/ -1 3 1 7 -3 9 -2 -4""",0.0
"""- 8 -8""",16
"""* 6 -7 1 -6 -7 5""",-8820
"""+ 1 5 -7 -7""",-8
"""+ -6 -6 5 -1 3 -8 -7 8""",-12
"""+ 3 -7 2 -4 2 -8 7 7 -7""",-5
"""- 3 -5""",8
"""/ 5 -8 -3 -1 8""",-0.03
"""+ -4 3 2 4 7 5 0 1""",18
"""- 1 5 -6 6 7""",-11
"""+ -4 2 9 8 7 -8 1""",15
"""/ 0 -8 -1 -4 -9 4 -3 7 4""",-0.0
"""+ 8 -3 2 0 5 -9 5""",8
"""- -2 -4 7 -2 3 -2 1 5 0""",-10
"""- 5 -1 4 9 9""",-16
"""+ -1 8 -2 -9 0""",-4
"""+ 4 4 1""",9
"""* -5 -8""",40
"""- -5 -5 -8 9""",-1
"""/ -2""",-2
"""+ 9 0 0 -6 5 8 6 -2 7""",27
"""- -7 -8 1 -6 1 -6 0 -3""",14
"""/ -7 -9 9""",0.09
"""- -7 -9 -8 7 4 6 -6 5""",-6
"""- 1 8""",-7
"""/ 8 -9 -5 -8 -3""",0.01
"""/ 7 -6 -1 -7 -9 3 6""",0.0
"""* -9 8 -6 -3 -6 -6 6""",-279936
"""+ 5 0 7 -9 6""",9
"""+ -8 6 0 6""",4
"""- 8""",8
"""* -7 6 -4 -6 -6 -4 -1""",24192
"""/ 1""",1
"""* 0""",0
"""* -5 3 8 7 -7 -7 -2 -9""",-740880
"""+ -6 -5 -6 9 0 -8""",-16
"""- -9""",-9
"""- -7 9 -5 3 1""",-15
"""- 1 8 -3 0 -2 -9""",7
"""/ 2""",2
"""+ -4""",-4
"""* 2 9 7 9 1 2 2 2 -4""",-36288
"""* 7 8 -9 9""",-4536
"""+ -1 2""",1
"""* 5""",5
"""- 1 9 -9 0""",1
"""- 6 0 -5 2 0 8""",1
"""+ 7 0 9 6 -8 7 8 -9 9""",29
"""* -4 5 5 -7 0 9 -2 8""",0
"""/ -4 3 0 9 1 8 -4 -3""",null
"""* -4 -4 -8 -8 -6 -5 8 -8 -3""",5898240
"""- -1 5 8 -7 -9 9 -8""",1
"""+ -1 -5 -7 0 5 0""",-8
"""/ -7 -6 5 2 -3 -5 -9 2 5""",-0.0
"""/ -7 -6 7 -1 1""",-0.17
"""* 3 -7""",-21
"""* 4 -3 -2 -8 -8 0 2 -1 -6""",0
"""- 7 5""",2
"""- -6 -2 4 -5 4 7 9 -8""",-15
"""/ -3 3 -1 4 3 6 -2""",-0.01
"""/ -2 -3 -6 -1 5 1 1""",0.02
"""- 1 -8 4 -4 7 -9 -7 -9""",27
"""* 0 -6 6 2""",0
"""- -1 5 -5 4""",-5
"""- -5 2 -7 -9 7 8""",-6
"""- -4 -8 6 9""",-11
"""/ -1 -3""",0.33
"""- 7 9 9 -2 5 0 9 5""",-28
"""* -2 -3 -7 -8 -8 3 9""",-72576
"""/ 8""",8
"""/ -3 4""",-0.75
"""- -8 -7 4 -6""",1
"""* -1 -7 -4 9""",-252
"""* 7 -8""",-56
"""/ -6 5 9 -3""",0.04
"""* 6 3""",18
"""* -2 7 -3 5 -8 5""",-8400
"""- 3""",3
"""+ -8 1 8 2 -7 -8 8""",-4
"""- -6 -1 8 5 3 -2 0""",-19
"""/ -6 -4 0""",null
"""+ 8 -3 1 7 -7 1 3 -4 2""",8
"""/ 7 -6 -9 5 1 7 1 8""",0.0
"""/ 3 -6 1 -3 8 3 -4 -6""",0.0
"""+ -5 7""",2
"""+ -7 3 -8""",-12
"""+ -5 1 9 1 2 9 -4 -8 7""",12
"""/ 6 -9 -6 -9 4 6 4 -5""",0.0
"""* -1 -5 -6 7 -8 9""",15120
"""- -2 -7 -2 -8 -1 5 6""",5
"""/ -3 1""",-3.0
"""/ 1 9 9 -1 -9 5 -5 -4""",0.0
"""/ -6 2 -3 6 2 -1""",-0.08
"""+ 0 8""",8
"""/ -1 5 -9 -8 6 7 7""",-0.0
"""* 1""",1
"""+ 4 9""",13
"""/ -5 2 7 8 5""",-0.01
"""/ 5 -9 9""",-0.06
"""* 0 3 0 3 6 7 0 -4 0""",0
"""* -4 -6 5 1 8 1""",960
"""* 3 3 -2 6 0 -8""",0
"""- -1""",-1
"""/ 8 -9 -6 -4 -5 3""",0.0
"""- 1 3""",-2
"""+ -9 -2""",-11
"""- -2 7 3 -9 6 2 0 -8 -8""",5
"""+ 9""",9
"""/ -5 7 7 1 4 -1""",0.03
"""- 0""",0
"""* -7 5 -1 7 -3""",-735
"""- -8 9 -2 -9 6 7 -9""",-10
"""- -4 3 -6 8 5 0 -5""",-9
"""- -4 -2 -7 6 -6 -7 5 -7""",14
"""/ 5 -2 -9 6 7 -4""",-0.0
"""/ 3 -5 -6 3 -3""",-0.01
"""* 9 -1 3 -9""",243
"""/ -7""",-7
"""- 5 -6 5 1 -9 4 0 -2""",12
"""+ -6 -3""",-9
"""* 2 5 -7 8""",-560
"""* 1 1 1 9 9 -5 -2 0""",0
"""- -2 7 -6 7 -7 -2 9 -6 9""",-13
"""* -3 2 0 6""",0
"""- 7 -2 9 2 3 1 -7 2""",-1
"""* 1 -7 -1 0 -6 -2""",0
"""- -5 -1 -9 4 7""",-6
"""* 6""",6
"""/ -8 -1 -4 9 -4 6 6""",0.0
"""/ -7 -3 9 -8""",-0.03
"""* 0 -6 3 3 7 1 6 4 -3""",0
"""* 5 -6 7 2 -4 -5 4 0""",0
"""- -1 -2 -8 -9 7 3 -7""",15
"""+ -6 2 4 -9 -7 -3""",-19
"""+ 6 -8 -8 7 9""",6
"""- -4 8 -5 8 3 -7 9""",-20
"""/ -2 3 7 5 6 -9 -9 8 -1""",0.0
"""/ -4 -4 8 -5 3""",-0.01
"""* -4 7 1 -2 2 -6""",-672
"""- 7 -4 0 3 9 4 -5 6 1""",-7
"""+ 3 4""",7
"""* -3 -5 -9 0 -3""",0
"""+ 9 -6 1 1 6 8 -7 2 4""",18
"""* -4 5 0 -7 -7 -9 -6 -5""",0
"""- -2 -9 9 9 9 3 5""",-28
"""+ 8 6 -9 -7""",-2
"""+ 0 -7""",-7
"""+ -9 -1 -1 8 5 6 -7 -6""",-5
"""* -7 2""",-14
"""* -8 7 3 6 2 0 0 -3""",0
"""/ 6 -6 -5 9 -8 -2 -3 -1""",0.0
"""- 1 -3 9""",-5
"""- -3 -9 -4 7 3""",0
"""* 1 4 -5 -4 0 8 1 7 9""",0
"""/ 7 5 5 -3""",-0.09
"""* -3 -5 6""",90
"""+ -6 7 0 -6 1 0 1 9 -3""",3
"""/ 1 -7 7 -9 -5 -2 8""",0.0
"""/ -1 5 9""",-0.02
"""* 2 5 -3 -8""",240
"""- 3 0 -9 2 9 0""",1
"""* -1 8 -8 -6 2 -6 8""",36864
"""/ -1 -9""",0.11
"""/ -7 0 -4 3 7 -6 9 8""",null
"""- 6 0 7 -1 1 -9""",8
"""+ -8 4 -7 -3 -1""",-15
"""- -8 -9""",1
"""- -8 1 0""",-9
"""/ 6 -6 -9 4 -6 -5 8 -9 3""",-0.0
"""- -6""",-6
"""- 1 6 0 6 1 -5 4 -8 1""",-4
"""- 3""",3
"""- 2 -8 8 0 -5 -1 6 -2""",4
"""+ -6 0 8 9 7 5""",23
"""- 3 -6 4 3""",2
"""/ 5 0 -1 -2 -9 -8 -2 7 1""",null
"""- 8 -5 0 2 -8""",19
"""* -3 3 5 -1 5 9""",2025
"""- 0 5 7 8""",-20
"""/ -2 -4""",0.5
"""- -2 8 -4 2 5 1 9 -4""",-19
"""- 5 0 8 -6 1 3""",-1
"""+ 4 4 7 -5 -9 7""",8
"""* 0 2""",0
"""+ -4 -4 -9 -2 -6 2""",-23
"""* -7 6 -3 7""",882
"""* 8 5 6 -4 0 -7 4 -6 -3""",0
"""/ -4 -5 -4 -6 -8""",-0.0
"""* -9 -1 -1 9""",-81
"""+ -4 6 -4 8 -5 8 -6 9 5""",17
"""- 0""",0
"""- -4 -1 -2 4 3 -8 4""",-4
"""* -4 2""",-8
"""* 6 -5 -9 -4 -1 9 3""",29160
"""/ 9 -6 -9""",0.17
"""+ -9""",-9
"""* 7 -3 8 7 -9 -3 5 -7 0""",0
"""* -5 -5 8""",200
"""+ -3""",-3
"""- 0 0 9 -3 1 -5 3 0 -8""",3
"""+ -8 7 3 3 2 7 9""",23
"""- 5 -1 -7 -4 -6 -6 -1 -6 8""",28
"""- -9 -9 -6 8 -8 -2 0 -5 9""",4
"""/ -5 0 1 -4 -9 -8""",null
"""- 4 7 7 -4 -6 -9 -3 -4""",16
"""/ 0 0 9 -5""",null
"""- 8 1 7 3 -4 4 -6""",3
"""/ -7 7 8""",-0.12
"""* -7 1 0 -3""",0
"""/ -3 9 2 -8 -2 0 9""",null
"""- -7 -5 -6 2 -5 -7 -3""",17
"""+ -4""",-4
"""/ 0 -5 -2 -6 1 1 7 2 -2""",0.0
"""* -3 5 -1 -4 8 2 6 7""",-40320
"""/ 2 5 5 -3 -5 5 5 4""",0.0
"""- -8 4 -3 -3 -2 -9 0""",5
"""* 9 -1 -8 7 1""",504
"""* -8 6 5""",-240
"""- -5 6 -4 -9 8 -8 -4""",6
"""/ -7 6""",-1.17
"""+ -3 -3 -7 -1""",-14
"""- -3 0 1 -5""",1
"""/ 8 2 1 4""",1.0
"""/ 6 -6 -1 -4 -4 -4""",-0.02
"""* -3 -9 2 6 -5""",-1620
"""* -9 -9""",81
"""- -4 4 1 7""",-16
"""* 7 5 -3 0 -3""",0
"""- -6 0 -2 -3 4 1 -3 1""",-4
"""/ -9 5 -8 4 -8 -4 7 -5 -7""",0.0
"""* -1 -9""",9
"""* 9 -8 7 9""",-4536
"""+ 4 -4""",0
"""+ -8 8 8""",8
"""/ -3 8 8 -9 8 2""",0.0
"""* 8 4 -5 1 -2 -1 3 4 3""",-11520
"""- -1 -8 4 -1""",4
"""/ 0""",0
"""+ -1 6 -7 -3 6""",1
"""- -2 0 9 9 -9 -4 9 5 6""",-27
"""- 8 -3 -5 -2""",18
"""* -6 -8 4 5""",960
"""* -2 3 2 -4 -7 4 7 0""",0
"""* -4 -7 9 0 -9 -5""",0
"""* 0 7 2 7 -3 -1 -4 -7""",0
"""/ -6 -4 -6 5 -1 -8 8 1""",-0.0
"""/ -7 5 5 -7 -2 2""",-0.01
"""/ -5 9 3""",-0.19
"""* 8 6 0 5 -6 -8 7 3 2""",0
"""/ -5 -4 3""",0.42
"""- 0 -8 -8 7""",9
"""* -6 -4 6 -5 3 -8 9 -8""",-1244160
"""- -4 1 -5 -5 -3 0 8 2 4""",-6
"""* -6 9 -9 2""",972
"""- -6 9 1 -1 -6""",-9
"""* 4 -5 -6 -8 -9 3 0""",0
"""- -6 -7 -9 -3""",13
"""* -2 -1 8 9 4 6""",3456
"""- -1 -3 -2 3 3 0 -4 -2 6""",-2
"""/ -4 1 4""",-1.0
"""* -6 2""",-12
"""- 6 0 -6 9 -5 -1""",9
"""* 5 -6 1 0 2 -9 4""",0
"""* 7 8 9 6 3 -9""",-81648
"""* -1 0 -4 5 0 7 6""",0
"""/ 4 5 -8 5""",-0.02
"""/ -6 2 -2 8 -2""",-0.09
"""* -9 0 7 -4 -3 -1 -9 -2 -1""",0
"""- 8""",8
"""- -5 6 -4 -5 -3""",1
"""* -7 4 -1 -1 5 -1 -1 5""",-700
"""* -1""",-1
"""+ 4 1 -9 -4 4 -8""",-12
"""- 5 4 7 4 -3 -2 -1""",-4
"""- 0 -6 -7 -9 -8 -5""",35
"""/ -8 1 9 -7""",0.13
"""- -2 -9 -6 -5 0 0 3 5""",10
"""- -8 7 0""",-15
"""* -6 5""",-30
"""* -5 -9 4 4 7""",5040
"""+ 1 -2 0""",-1
"""+ 0 0 -7 -7 -8 1 2 -7""",-26
"""+ -1 1 5 3 -5 -4""",-1
"""- 7 -3 -9 0 1""",18
"""* 1 0 -2""",0
"""/ -6 -5 8 2 9 -9 -6 8 6""",0.0
"""* -3 -4 -5""",-60
"""/ 7 -4 4""",-0.44
"""* -9 -4 1 0""",0
"""+ -9 -3 9""",-3
"""- 4 -6 -5 7 0 -3 0""",11
"""- 3 9 -3 -9""",6
"""+ 0 -6 -3 -4""",-13
"""* -2 1 6""",-12
"""* 1 -8""",-8
"""+ -7""",-7
"""* -2 -1 -6 -9 2 0 -4""",0
"""+ 7 -2 -2 9 5 -5 8 9""",29
"""* 8 -2 1 3 7 7""",-2352
"""+ 1 -1 6 -9 -6 5 -3 8""",1
"""/ -6 -6 -2 6 -6 -4 5""",-0.0
"""- -1""",-1
"""* -5 -2 -7 -5 9""",3150
"""/ -4 2 -7""",0.29
"""+ -6 -6 -2""",-14
"""+ -5 6 6""",7
"""* -6 -9 8 -4""",-1728
"""- 2 8 7 -4 1 1 -9 7""",-9
"""- 3 9 0 1 -8 1""",0
"""/ 5 -7""",-0.71
"""* 6 6 -2 -7 5 2 -3 -9""",136080
"""- -1 -3 1 6 -5 3 4""",-7
"""+ 5 4 7 -8 6 1 -1""",14
"""+ 8 -2 -5 -4 1 -2 4""",0
"""+ -6 -2 -7 4""",-11
"""* 4 8 -9""",-288
"""+ -2 7 6 0 4 -8 -4""",3
"""* 1 -2 7 -7 -1""",-98
"""- -3 1 6 -8 -6""",4
"""* -2 4 0 0 3 1 -7 4""",0
"""+ 3 -7 4 1 2 5 6 -7 -3""",4
"""/ -5""",-5
"""+ 5 0 0 4 7 8 3 -4""",23
"""- 6""",6
"""/ 4 2 -4 -7 -9 4 -3 -7 2""",-0.0
"""+ -4 3 4 -7 -4 -5""",-13
"""+ 8 -6 8 -9 -7""",-6
"""+ -5 -6 7 -4 3""",-5
"""+ -4 -8 -4 -6 0 6 9 -1""",-8
"""/ 0 1 -6 -7 -9 7 -4 -2""",-0.0
"""+ 9 -4 0""",5
"""/ 1 8 0""",null
"""- -6 -8 -2 -8""",12
"""* -9 -4""",36
"""+ -7 -5""",-12
"""+ -4""",-4
"""- 2 1 7 -7 3 8 5""",-15
"""* -7 9""",-63
"""/ -2 -7 7 -9""",-0.0
"""+ -6 0""",-6
"""- -2 0""",-2
"""* 4 -9 0 2""",0
"""- 9 0 0 -5 6""",8
"""/ -2 -2 1 7 -6 -9 7""",0.0
"""/ 5 9 -1 -8 7 -6 0""",null
"""* 9 -7 -4 5 0 -7 -1""",0
"""/ 5 -7 -7 5 1 6 -2""",-0.0
"""+ 1 -3""",-2
"""/ -6 -3 0""",null
"""+ 8 -9 -4 -8 -2 8 2 6""",1
"""+ -7 7 -5 -1 9 7""",10
"""+ -1 -1 -9""",-11
"""- 4 2 7 -5""",0
"""- -3 -5 -9 2 -8 -7 -3 8""",19
"""- 6 5 -2""",3
"""- 6 1 -3""",8
"""- 8 -1""",9
"""* -8 -3 6 6 -8""",-6912
"""+ 3 -4 2 5""",6
"""- 0 8 9""",-17
"""- -6""",-6
"""/ 4 9""",0.44
"""* -8 -9 -1 -3 -6 7""",-9072
"""* -2 -7 -1 -5 6 7 5 8 6""",705600
"""- 5 -5 -4 6 -9""",17
"""- -3 -2 -2 -6 9 -1 2 4 4""",-11
"""/ -5 0 1 -2 5 2 -5 -8 -6""",null
"""/ -1 9 -8 3""",0.0
"""- -3 2 2 7 -4""",-10
"""/ 6 -5 7""",-0.17
"""- -8 4 -1 6 -1 7""",-23
"""- 8 -9 1 1 -1 4 -6 0""",18
"""* 5 9 9 -9 6""",-21870
"""/ -2 0 0""",null
"""/ 0 -3 -3 -8 2 -8 0 -5""",null
"""- -6 5 0 8 -7 1 -9 5""",-9
"""/ -2 8 -2 -9 8""",-0.0
"""/ 2 -3 0 -5 5 9""",null
"""- 6""",6
"""* 7 -6 -4 -7 4 3 5 5""",-352800
"""- -8 9""",-17
"""/ 8 -2 6 9""",-0.07
"""* 8 3 7""",168
"""* -5 -9 -6 -5 1 4 -5""",-27000
"""+ 3 -1 8 3 -2 5""",16
"""/ -3 -2 5 -4""",-0.07
"""- 9 -8 1 6""",10
"""+ -3 1 6""",4
"""- 4 -8 -5 -2 -4 3 4""",16
"""/ 9 6 -7 3 1 -8""",0.01
"""* -2 -1 2 -5 -2 -8 9""",-2880
"""- -3 -8""",5
"""* -1 -7 2 -8 -4 0 7 3 3""",0
"""* -5 1""",-5
"""* -6 3 -9 -6 -2 3 -8""",-46656
"""+ 3 9 -4""",8
"""* 3 -3 -8 0 9 1 9 -4""",0
"""- -4 -7 1 9 -5 -5 -7""",10
"""- 2 -8 -7""",17
"""- 0 -3""",3
"""+ -8 -8 -3 -7 -3 -6 -8""",-43
"""* 3 5""",15
"""- 6 -5 2 -6 3 2 -4""",14
"""* 5 2 -6 8 4 -5 -3 -9 -4""",-1036800
"""- -8""",-8
"""- 3 -1 2 -4 -7 1 0 6 6""",0
"""* 3 7 -4 7""",-588
"""+ 0 3""",3
"""* 0""",0
"""/ -1 1""",-1.0
"""* 5 2""",10
"""+ -4 -1 -3""",-8
"""/ 9 2 -4 8 3 -1 7 3""",0.0
"""- -1 -9 4""",4
"""* 7 2 -2""",-28
"""- -7 4 2 -9 4 -2 -4 6 3""",-11
"""* -8 -6 9 5 6 3 3""",116640
"""/ 2""",2
"""- -5 0 5 7 3 -4 3 2""",-21
"""* 1 -9""",-9
"""/ -3 -9 0 5 9 7 8""",null
"""* 7 7 8 7 7 -6 3 5""",-1728720
"""- 1""",1
"""* 6 -1 -7 8 0 3""",0
"""/ 6""",6
"""/ -8 0 8 5""",null
"""+ 7 3 -9""",1
"""/ -5 9""",-0.56
"""+ -8 6 4""",2
"""- 7 7 6 9 3""",-18
"""/ -2""",-2
"""+ -8 2""",-6
"""/ 3 -1""",-3.0
"""/ -8 2 -9 -4""",-0.11
"""- -1 -4 -6""",9
"""/ -6 -3 5 3""",0.13
"""* 1 -7 -7""",49
"""+ -8 2 3 -7 1 -1""",-10
"""+ 4 -1""",3
"""+ -5 -9 4 3 -6 -3 -9 -5 -2""",-32
"""+ 8 3 1 5 0""",17
"""/ -5 -1 -9 5""",-0.11
"""* 1 2""",2
"""+ 5 -9 1 0 4 7 6 0 8""",22
"""/ 1 5 8 -5 -7 8 0 -2 6""",null
"""+ 4 9""",13
"""/ -6""",-6
"""+ 4 0 5 5 4 -5 -5""",8
"""* -6 9""",-54
"""- 2 1""",1
"""/ -2 4 5""",-0.1
"""+ 6 3 -8""",1
"""* -4 5 -1 1 6 -6 2 6 8""",-69120
"""/ 6 8 0 -2 -1 -2 -2 3 -1""",null
"""/ -8 7""",-1.14
"""/ -7 4 -6 -1 5 -9 -5 -8""",0.0
"""/ -5""",-5
"""- 7 -6 -4 4 2 -4 -5 4""",16
"""- 4 1 -4 -6 6""",7
"""- 0""",0
"""* 9 2""",18
"""+ -9 5 2 -3 -4 7""",-2
"""/ 2 -9 -1 -2 6 8""",-0.0
"""* 8 -7 7 1""",-392
"""* 6 -4 8 -8 -8""",-12288
"""* 4 3""",12
"""- -5 -5""",0
"""* 8 8 3 -6 -7 8 -2""",-129024
"""/ -4 7 1""",-0.57
"""- -8 1 -7 6 2""",-10
"""- -4 7 0 1 9""",-21
"""- 0 4 2 -7 -1 1 6 -6 1""",0
"""* -5 -2 1 8 -3 0""",0
"""- 4 1""",3
"""- 6 -5 1 -8 2""",16
